critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Ty Burr,0,337978.0,Boston Globe,"Sorry, boys. After two decades, the first film still does more with one skyscraper than Live Free or Die Hard does with an entire country.",2007-06-27,494020502.0,Live Free or Die Hard,25,sorry boys after two decades the first film still does more with one skyscraper than live free or die hard does with an entire country
Kenneth Turan,1,337978.0,Los Angeles Times,That this implausible stew works as well as it does is in part a tribute to the unlikely but enjoyable rapport that forms between old school McClane and his youthful computer-savvy companion.,2007-06-26,494020502.0,Live Free or Die Hard,32,that this implausible stew works as well as it does is in part a tribute to the unlikely but enjoyable rapport that forms between old school mcclane and his youthful computer savvy companion
,1,113347.0,USA Today,"Despite its hard-sell coming attraction and pot-smoking granny singing rock oldies, How to Make an American Quilt turns out to be a wealth of old-style Hollywood magic.",2000-01-01,10836.0,How to Make an American Quilt,27,despite its hard sell coming attraction and pot smoking granny singing rock oldies how to make an american quilt turns out to be a wealth of old style hollywood magic
,1,47478.0,TIME Magazine,"Again and again, Kurosawa sends a dark thrill through his audience with a touch of sensuous physical reality.",2009-04-20,16992.0,Shichinin no samurai,18,again and again kurosawa sends a dark thrill through his audience with a touch of sensuous physical reality
Dave Kehr,1,47478.0,Chicago Reader,"Kurosawa's film is a model of long-form construction, ably fitting its asides and anecdotes into a powerful suspense structure that endures for all of the film's 208 minutes.",2007-03-01,16992.0,Shichinin no samurai,28,kurosawas film is a model of long form construction ably fitting its asides and anecdotes into a powerful suspense structure that endures for all of the films  minutes
Variety Staff,1,47478.0,Variety,"Besides the well-manned battlescenes, the pic has a good feeling for characterization and time.",2007-03-01,16992.0,Shichinin no samurai,14,besides the well manned battlescenes the pic has a good feeling for characterization and time
,1,47478.0,Time Out,The epic action scenes involving cavalry and samurai are still without peer.,2006-06-24,16992.0,Shichinin no samurai,12,the epic action scenes involving cavalry and samurai are still without peer
James Berardinelli,1,47478.0,ReelViews,Seven Samurai is an unforgettable masterpiece -- the work of one of the world's greatest filmmakers at the height of his powers.,2003-05-29,16992.0,Shichinin no samurai,22,seven samurai is an unforgettable masterpiece    the work of one of the worlds greatest filmmakers at the height of his powers
Bosley Crowther,1,47478.0,New York Times,"[Kurosawa] has loaded his film with unusual and exciting physical incidents and made the whole thing graphic in a hard, realistic western style.",2003-05-20,16992.0,Shichinin no samurai,23,kurosawa has loaded his film with unusual and exciting physical incidents and made the whole thing graphic in a hard realistic western style
Ty Burr,1,47478.0,Boston Globe,"Moves like hot mercury, and it draws a viewer so thoroughly into its world that real life can seem thick and dull when the lights come up.",2002-09-06,16992.0,Shichinin no samurai,27,moves like hot mercury and it draws a viewer so thoroughly into its world that real life can seem thick and dull when the lights come up
J. Hoberman,1,47478.0,Village Voice,"Rich in detail, vivid in characterization, leisurely in exposition, this 207-minute epic is bravura filmmaking.",2002-08-27,16992.0,Shichinin no samurai,15,rich in detail vivid in characterization leisurely in exposition this  minute epic is bravura filmmaking
Roger Ebert,1,47478.0,Chicago Sun-Times,"Akira Kurosawa's The Seven Samurai (1954) is not only a great film in its own right, but the source of a genre that would flow through the rest of the century.",2001-08-28,16992.0,Shichinin no samurai,31,akira kurosawas the seven samurai  is not only a great film in its own right but the source of a genre that would flow through the rest of the century
Laura Shapiro,1,114148.0,Newsweek,"Just about everything in this lavish, animated feature is for the pigtail set.",2008-09-02,9544.0,Pocahontas,13,just about everything in this lavish animated feature is for the pigtail set
Jonathan Rosenbaum,1,114148.0,Chicago Reader,Overall this seems like a reasonable stab at an impossible agenda.,2008-09-02,9544.0,Pocahontas,11,overall this seems like a reasonable stab at an impossible agenda
Rita Kempley,0,114148.0,Washington Post,All Disney has really done in its disappointing 33rd animated feature is revive the stereotype of the Noble Savage.,2008-09-02,9544.0,Pocahontas,19,all disney has really done in its disappointing rd animated feature is revive the stereotype of the noble savage
Jeremy Gerard,1,114148.0,Variety,The Disney artists have created a vivid palette for the picture.,2008-05-26,9544.0,Pocahontas,11,the disney artists have created a vivid palette for the picture
Owen Gleiberman,0,114148.0,Entertainment Weekly,Why make a Disney cartoon and take all the fun out of it?,2007-02-27,9544.0,Pocahontas,13,why make a disney cartoon and take all the fun out of it
,0,114148.0,Time Out,"Pocahontas can't get stirred dramatically for political correctness, the finale will please nobody, and the songs are duff. That said, there are enough incidental felicities to pass the time pleasantly.",2006-06-24,9544.0,Pocahontas,30,pocahontas cant get stirred dramatically for political correctness the finale will please nobody and the songs are duff that said there are enough incidental felicities to pass the time pleasantly
Janet Maslin,1,114148.0,New York Times,Any damage such revisionist history may impose on young minds is offset by the honestly inspiring thoughts Pocahontas offers.,2003-05-20,9544.0,Pocahontas,19,any damage such revisionist history may impose on young minds is offset by the honestly inspiring thoughts pocahontas offers
Peter Stack,1,114148.0,San Francisco Chronicle,"Disney's 33rd animated feature, and its first with characters based on real people, is a stunning movie with clever twists, vivid characterizations, insightful songs and a surprising harvest of revisionist history.",2002-06-18,9544.0,Pocahontas,31,disneys rd animated feature and its first with characters based on real people is a stunning movie with clever twists vivid characterizations insightful songs and a surprising harvest of revisionist history
Peter Travers,1,114148.0,Rolling Stone,"Disney deserves praise for raising the ante on its ambitions in animation. Next time, though, a little less civics lesson and a little more heart.",2001-05-12,9544.0,Pocahontas,25,disney deserves praise for raising the ante on its ambitions in animation next time though a little less civics lesson and a little more heart
Kenneth Turan,0,114148.0,Los Angeles Times,"Adult viewers, spoiled by what has come before, may feel that this film, which relates the legendary romance between a chief's daughter and English adventurer John Smith in the New World, is more by-the-numbers than inspired.",2001-02-13,9544.0,Pocahontas,36,adult viewers spoiled by what has come before may feel that this film which relates the legendary romance between a chiefs daughter and english adventurer john smith in the new world is more by the numbers than inspired
Desson Thomson,0,114148.0,Washington Post,"As for the songs, they're guaranteed to keep your shoes glued to the floor",2000-01-01,9544.0,Pocahontas,14,as for the songs theyre guaranteed to keep your shoes glued to the floor
James Berardinelli,1,114148.0,ReelViews,"Taking advantage of the studio's breathtakingly intricate animation, directors Mike Gabriel and Eric Goldberg have breathed vitality into this, the fifth 'new wave' Disney animated picture.",2000-01-01,9544.0,Pocahontas,26,taking advantage of the studios breathtakingly intricate animation directors mike gabriel and eric goldberg have breathed vitality into this the fifth new wave disney animated picture
